University,Name,Title,Email,Phone Number,Conference,State,Program
Adelphi University,Pat McCabe,Head Coach,,,Northeast 10 Conference,NY,Women's
Adelphi University,Kelly-Ann McGrath,Assistant Coach,,,Northeast 10 Conference,NY,Women's
Adelphi University,Madison Marchetta,Assistant Coach,,,Northeast 10 Conference,NY,Women's
University of Alabama in Huntsville,Akasha Kasper,Head Coach,,,Gulf South Conference,AL,Women's
University of Alabama in Huntsville,Alyssa Suchan,Assistant Coach,,,Gulf South Conference,AL,Women's
University of Alabama in Huntsville,Brandon Badgley,Assistant Coach,,,Gulf South Conference,AL,Women's
University of Alabama in Huntsville,Riley Davie,Assistant Coach,,,Gulf South Conference,AL,Women's
American International College,Justin Dionne,Head Women's Lacrosse Coach,,,Northeast 10 Conference,MA,Women's
American International College,Shania Springer,Assistant Women's Lacrosse Coach,,,Northeast 10 Conference,MA,Women's
Assumption University,Courtney Dincecco,Head Coach,,,Northeast 10 Conference,MA,Women's
Assumption University,Kylie Farrell,Assistant Coach,,,Northeast 10 Conference,MA,Women's
Barry University,Kristin Paolini,Head Coach,,,Sunshine State Conference,FL,Women's
Barton College,Ciara Burud,Head Women's Lacrosse Coach,,,Conference Carolinas,NC,Women's
Barton College,Shana CaHill,Assistant Coach,,,Conference Carolinas,NC,Women's
Belmont Abbey College,Molly Kopp,Head Coach,,,Conference Carolinas,NC,Women's
Belmont Abbey College,Kylie Eastman,Associate Head Coach,,,Conference Carolinas,NC,Women's
Bloomsburg University of Pennsylvania,Shannon Hertz,Head Coach,,,Pennsylvania State Athletic Conference,PA,Women's
Caldwell University,Amanda Picozzi,Head Coach,,,Central Atlantic Collegiate Conference,NJ,Women's
Catawba College,Caitlyn Corace,Head Women's Lacrosse Coach,,,South Atlantic Conference,NC,Women's
Catawba College,Angelina Perrone,Assistant Women's Lacrosse Coach,,,South Atlantic Conference,NC,Women's
Chestnut Hill College,Liz Martin,Head Coach,,,Central Atlantic Collegiate Conference,PA,Women's
Chestnut Hill College,Brylin Adams,Assistant Coach,,,Central Atlantic Collegiate Conference,PA,Women's
Chestnut Hill College,Gabby Curry,Assistant Coach,,,Central Atlantic Collegiate Conference,PA,Women's
Chowan University,Llaquelin Reyes-Mendez,Head Women's Lacrosse Coach,,,Conference Carolinas,NC,Women's
University of Colorado Colorado Springs,Brice Queener,Head Women's Lacrosse Coach,,,Rocky Mountain Athletic Conference,CO,Women's
